file_name,false_negative_rank,source_audio_name,source_path,copied_path,file_size_bytes,duration_seconds,sample_rate,num_samples,positive_probability,margin_to_threshold,raw_feature_shape,flattened_feature_dim,reduced_feature_dim,mel_feature_shape,leading_zero_ratio,trailing_zero_ratio,overall_zero_ratio,obvious_anomaly
ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_stretch.png,1,ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\01__ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_stretch.mp3,62629,1.6979591836734693,44100,74880,0.3314285714285714,-0.1685714285714286,64x64,4096,40,128x147,0.04426303854875283,0.00471655328798186,0.007785790598290598,True
ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_pitch_down.png,2,ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\02__ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_pitch_down.mp3,62629,1.6979591836734693,44100,74880,0.3457142857142857,-0.1542857142857143,64x64,4096,40,128x147,0.04426303854875283,0.00471655328798186,0.007785790598290598,True
ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_pitch_up.png,3,ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\03__ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_pitch_up.mp3,62629,1.6979591836734693,44100,74880,0.4085714285714286,-0.09142857142857141,64x64,4096,40,128x147,0.04426303854875283,0.00471655328798186,0.007785790598290598,True
ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.png,4,ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\04__ElevenLabs_2026-04-20T16_51_19_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,62629,1.6979591836734693,44100,74880,0.44571428571428573,-0.05428571428571427,64x64,4096,40,128x147,0.04426303854875283,0.00471655328798186,0.007785790598290598,True
ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_stretch.png,5,ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\05__ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_stretch.mp3,82691,2.9518367346938774,44100,130176,0.4514285714285714,-0.0485714285714286,64x64,4096,40,128x255,0.030657596371882086,0.013424036281179138,0.004324913962635201,False
ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_noise.png,6,ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\06__ElevenLabs_2026-04-20T16_50_58_Vedant - Enthusiastic and Engaging_pvc_sp100_s50_sb75_se0_b_m2_noise.mp3,82691,2.9518367346938774,44100,130176,0.46,-0.03999999999999998,64x64,4096,40,128x255,0.030657596371882086,0.013424036281179138,0.004324913962635201,False
ElevenLabs_2026-04-18T03_34_44_Shaurya - Expressive and Conversational_pvc_sp113_s65_sb100_se0_b_m2_noise.png,7,ElevenLabs_2026-04-18T03_34_44_Shaurya - Expressive and Conversational_pvc_sp113_s65_sb100_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\audio_dataset\ai\ElevenLabs_2026-04-18T03_34_44_Shaurya - Expressive and Conversational_pvc_sp113_s65_sb100_se0_b_m2.mp3,H:\Projects_AI\project_safe_v1\investigation\false_negatives\07__ElevenLabs_2026-04-18T03_34_44_Shaurya - Expressive and Conversational_pvc_sp113_s65_sb100_se0_b_m2_noise.mp3,214348,11.180408163265307,44100,493056,0.48,-0.020000000000000018,64x64,4096,40,128x964,0.08272108843537415,0.05206349206349206,0.008668386552440292,False
